Trial,Correct,Strategy,Start zone
1,0,3,1
2,0,3,1
3,0,3,1
4,0,3,1
5,0,3,1
6,0,3,1
7,0,3,1
8,0,3,1
9,0,3,1
10,1,3,1
11,0,3,1
12,1,3,1
13,1,3,1
14,0,3,2
15,1,3,2
16,1,3,1
17,1,3,1
18,0,3,2
19,0,3,2
20,1,3,2
21,1,3,1
22,0,3,1
23,0,3,1
24,1,3,1
25,0,3,2
26,0,3,2
27,1,3,2
28,1,3,1
29,1,3,1
30,0,3,2
31,1,3,2
32,1,3,1
33,0,3,1
34,0,3,1
35,1,3,1
36,1,3,1
37,0,3,2
38,1,3,2
39,1,3,1
40,1,3,1
41,1,3,1
42,0,3,2
43,1,3,2
44,1,3,1
45,1,3,2
46,1,3,1
47,1,3,2
48,1,3,1
49,1,3,2
51,1,1,1
52,0,1,2
53,0,1,2
54,1,1,2
55,1,1,1
56,1,1,1
57,0,1,2
58,1,1,2
59,0,1,2
60,1,1,2
61,0,1,2
62,0,1,2
63,1,1,2
64,1,1,1
65,1,1,2
66,1,1,1
67,1,1,1
68,1,1,1
69,1,1,2
70,1,1,1
71,0,1,2
72,1,1,2
73,1,1,1
74,1,1,2
75,1,1,1
76,1,1,2
77,0,2,2
78,1,2,2
79,1,2,2
80,0,2,2
81,1,2,2
82,1,2,2
83,0,2,1
84,0,2,1
85,0,2,1
86,0,2,1
87,1,2,1
88,0,2,1
89,1,2,1
90,0,2,2
91,1,2,2
92,1,2,1
93,1,2,2
94,1,2,2
95,0,2,1
96,1,2,1
97,1,2,2
98,1,2,1
99,1,2,2
100,0,2,2
101,1,2,2
102,1,2,2
103,0,2,2
104,1,2,2
105,1,2,2
106,1,2,1
107,0,2,1
108,1,2,1
109,1,2,2
110,0,2,1
111,0,2,1
112,1,2,1
113,1,2,2
114,1,2,2
115,1,2,2
116,1,2,1
117,1,2,1
118,1,2,2
119,0,2,1
120,1,2,1
121,1,2,1
122,1,2,1
123,0,2,2
124,1,2,2
125,1,2,1
126,1,2,2
128,0,3,1
129,0,3,1
130,0,3,1
131,0,3,1
132,0,3,1
133,0,3,1
134,0,3,1
135,0,3,1
136,0,3,1
137,1,3,1
138,0,3,1
139,1,3,1
140,1,3,1
141,0,3,2
142,1,3,2
143,1,3,1
144,1,3,1
145,0,3,2
146,0,3,2
147,1,3,2
148,1,3,1
149,0,3,1
150,0,3,1
151,1,3,1
152,0,3,2
153,0,3,2
154,1,3,2
155,1,3,1
156,1,3,1
157,0,3,2
158,1,3,2
159,1,3,1
160,0,3,1
161,0,3,1
162,1,3,1
163,1,3,1
164,0,3,2
165,1,3,2
166,1,3,1
167,1,3,1
168,1,3,1
169,0,3,2
170,1,3,2
171,1,3,1
172,1,3,2
173,1,3,1
174,1,3,2
175,1,3,1
176,1,3,2
178,1,1,1
179,0,1,2
180,0,1,2
181,1,1,2
182,1,1,1
183,1,1,1
184,0,1,2
185,1,1,2
186,0,1,2
187,1,1,2
188,0,1,2
189,0,1,2
190,1,1,2
191,1,1,1
192,1,1,2
193,1,1,1
194,1,1,1
195,1,1,1
196,1,1,2
197,1,1,1
198,0,1,2
199,1,1,2
200,1,1,1
201,1,1,2
202,1,1,1
203,1,1,2
204,0,2,2
205,1,2,2
206,1,2,2
207,0,2,2
208,1,2,2
209,1,2,2
210,0,2,1
211,0,2,1
212,0,2,1
213,0,2,1
214,1,2,1
215,0,2,1
216,1,2,1
217,0,2,2
218,1,2,2
219,1,2,1
220,1,2,2
221,1,2,2
222,0,2,1
223,1,2,1
224,1,2,2
225,1,2,1
226,1,2,2
227,0,2,2
228,1,2,2
229,1,2,2
230,0,2,2
231,1,2,2
232,1,2,2
233,1,2,1
234,0,2,1
235,1,2,1
236,1,2,2
237,0,2,1
238,0,2,1
239,1,2,1
240,1,2,2
241,1,2,2
242,1,2,2
243,1,2,1
244,1,2,1
245,1,2,2
246,0,2,1
247,1,2,1
248,1,2,1
249,1,2,1
250,0,2,2
251,1,2,2
252,1,2,1
253,1,2,2
255,1,3,1
256,0,3,1
257,1,3,1
258,0,3,1
259,0,3,1
260,1,3,1
261,1,3,2
262,1,3,2
263,1,3,2
264,1,3,1
265,1,3,1
266,1,3,1
267,1,3,2
268,0,3,1
269,1,3,1
270,1,3,2
271,1,3,2
272,1,3,2
273,1,3,2
275,1,1,1
276,0,1,1
277,1,1,1
278,1,1,1
279,1,1,2
280,1,1,1
281,0,1,2
282,1,1,2
283,1,1,2
284,0,1,2
285,0,1,2
