Correct,Strategy,Start zone,Trial
0,3,2,1
1,3,2,2
0,3,1,3
0,3,1,4
1,3,1,5
0,3,2,6
0,3,2,7
0,3,2,8
0,3,2,9
1,3,2,10
0,3,2,11
0,3,2,12
0,3,2,13
0,3,2,14
1,3,2,15
1,3,2,16
0,3,1,17
1,3,1,18
0,3,2,19
1,3,2,20
0,3,2,21
1,3,2,22
1,3,1,23
0,3,2,24
0,3,2,25
0,3,2,26
1,3,2,27
0,3,2,28
0,3,2,29
0,3,2,30
1,3,2,31
1,3,1,32
0,3,1,33
0,3,1,34
1,3,1,35
1,3,1,36
1,3,2,37
1,3,1,38
1,3,2,39
1,3,1,40
0,3,2,41
1,3,2,42
0,3,2,43
1,3,2,44
0,3,2,45
1,3,2,46
1,3,1,47
0,3,2,48
1,3,2,49
1,3,1,50
0,3,1,51
0,3,1,52
1,3,1,53
0,3,2,54
0,3,2,55
1,3,2,56
0,3,2,57
1,3,2,58
1,3,1,59
0,3,1,60
0,3,1,61
1,3,1,62
0,3,1,63
1,3,1,64
1,3,2,65
0,3,2,66
0,3,2,67
0,3,2,68
0,3,2,69
1,3,2,70
1,3,1,71
1,3,2,72
0,3,2,73
1,3,2,74
0,3,2,75
1,3,2,76
0,3,1,77
1,3,1,78
0,3,2,79
1,3,2,80
0,3,2,81
1,3,2,82
0,3,1,83
0,3,1,84
1,3,1,85
0,3,1,86
1,3,1,87
1,3,1,88
1,3,2,89
0,3,1,90
1,3,1,91
1,3,1,92
1,3,2,93
0,3,2,94
0,3,2,95
1,3,2,96
1,3,1,97
1,3,2,98
1,3,1,99
1,3,1,100
0,3,1,101
1,3,1,102
1,3,2,103
1,3,1,104
1,3,1,105
1,3,1,106
1,3,2,107
1,3,2,108
1,3,1,109
1,1,2,111
1,1,1,112
0,1,2,113
1,1,2,114
1,1,1,115
1,1,1,116
1,1,1,117
1,1,2,118
1,1,2,119
1,1,2,120
1,1,2,121
1,1,1,122
1,1,2,123
1,1,2,124
1,1,1,125
0,3,2,127
1,3,2,128
0,3,1,129
0,3,1,130
1,3,1,131
0,3,2,132
0,3,2,133
0,3,2,134
0,3,2,135
1,3,2,136
0,3,2,137
0,3,2,138
0,3,2,139
0,3,2,140
1,3,2,141
1,3,2,142
0,3,1,143
1,3,1,144
0,3,2,145
1,3,2,146
0,3,2,147
1,3,2,148
1,3,1,149
0,3,2,150
0,3,2,151
0,3,2,152
1,3,2,153
0,3,2,154
0,3,2,155
0,3,2,156
1,3,2,157
1,3,1,158
0,3,1,159
0,3,1,160
1,3,1,161
1,3,1,162
1,3,2,163
1,3,1,164
1,3,2,165
1,3,1,166
0,3,2,167
1,3,2,168
0,3,2,169
1,3,2,170
0,3,2,171
1,3,2,172
1,3,1,173
0,3,2,174
1,3,2,175
1,3,1,176
0,3,1,177
0,3,1,178
1,3,1,179
0,3,2,180
0,3,2,181
1,3,2,182
0,3,2,183
1,3,2,184
1,3,1,185
0,3,1,186
0,3,1,187
1,3,1,188
0,3,1,189
1,3,1,190
1,3,2,191
0,3,2,192
0,3,2,193
0,3,2,194
0,3,2,195
1,3,2,196
1,3,1,197
1,3,2,198
0,3,2,199
1,3,2,200
0,3,2,201
1,3,2,202
0,3,1,203
1,3,1,204
0,3,2,205
1,3,2,206
0,3,2,207
1,3,2,208
0,3,1,209
0,3,1,210
1,3,1,211
0,3,1,212
1,3,1,213
1,3,1,214
1,3,2,215
0,3,1,216
1,3,1,217
1,3,1,218
1,3,2,219
0,3,2,220
0,3,2,221
1,3,2,222
1,3,1,223
1,3,2,224
1,3,1,225
1,3,1,226
0,3,1,227
1,3,1,228
1,3,2,229
1,3,1,230
1,3,1,231
1,3,1,232
1,3,2,233
1,3,2,234
1,3,1,235
1,1,2,237
1,1,1,238
0,1,2,239
1,1,2,240
1,1,1,241
1,1,1,242
1,1,1,243
1,1,2,244
1,1,2,245
1,1,2,246
1,1,2,247
1,1,1,248
1,1,2,249
1,1,2,250
1,1,1,251
0,3,2,253
1,3,2,254
0,3,1,255
0,3,1,256
1,3,1,257
0,3,2,258
0,3,2,259
0,3,2,260
0,3,2,261
1,3,2,262
0,3,2,263
0,3,2,264
0,3,2,265
0,3,2,266
1,3,2,267
1,3,2,268
0,3,1,269
1,3,1,270
0,3,2,271
1,3,2,272
0,3,2,273
1,3,2,274
1,3,1,275
0,3,2,276
0,3,2,277
0,3,2,278
1,3,2,279
0,3,2,280
0,3,2,281
0,3,2,282
1,3,2,283
1,3,1,284
0,3,1,285
0,3,1,286
1,3,1,287
1,3,1,288
1,3,2,289
1,3,1,290
1,3,2,291
1,3,1,292
0,3,2,293
1,3,2,294
0,3,2,295
1,3,2,296
0,3,2,297
1,3,2,298
1,3,1,299
0,3,2,300
1,3,2,301
1,3,1,302
0,3,1,303
0,3,1,304
1,3,1,305
0,3,2,306
0,3,2,307
1,3,2,308
0,3,2,309
1,3,2,310
1,3,1,311
0,3,1,312
0,3,1,313
1,3,1,314
0,3,1,315
1,3,1,316
1,3,2,317
0,3,2,318
0,3,2,319
0,3,2,320
0,3,2,321
1,3,2,322
1,3,1,323
1,3,2,324
0,3,2,325
1,3,2,326
0,3,2,327
1,3,2,328
0,3,1,329
1,3,1,330
0,3,2,331
1,3,2,332
0,3,2,333
1,3,2,334
0,3,1,335
0,3,1,336
1,3,1,337
0,3,1,338
1,3,1,339
1,3,1,340
1,3,2,341
0,3,1,342
1,3,1,343
1,3,1,344
1,3,2,345
0,3,2,346
0,3,2,347
1,3,2,348
1,3,1,349
1,3,2,350
1,3,1,351
1,3,1,352
0,3,1,353
1,3,1,354
1,3,2,355
1,3,1,356
1,3,1,357
1,3,1,358
1,3,2,359
1,3,2,360
1,3,1,361
1,1,2,363
1,1,1,364
0,1,2,365
1,1,2,366
1,1,1,367
1,1,1,368
1,1,1,369
1,1,2,370
1,1,2,371
1,1,2,372
1,1,2,373
1,1,1,374
1,1,2,375
1,1,2,376
1,1,1,377
0,3,2,379
1,3,2,380
0,3,1,381
0,3,1,382
1,3,1,383
0,3,2,384
0,3,2,385
0,3,2,386
0,3,2,387
1,3,2,388
0,3,2,389
0,3,2,390
0,3,2,391
0,3,2,392
1,3,2,393
1,3,2,394
0,3,1,395
1,3,1,396
0,3,2,397
1,3,2,398
0,3,2,399
1,3,2,400
1,3,1,401
0,3,2,402
0,3,2,403
0,3,2,404
1,3,2,405
0,3,2,406
0,3,2,407
0,3,2,408
1,3,2,409
1,3,1,410
0,3,1,411
0,3,1,412
1,3,1,413
1,3,1,414
1,3,2,415
1,3,1,416
1,3,2,417
1,3,1,418
0,3,2,419
1,3,2,420
0,3,2,421
1,3,2,422
0,3,2,423
1,3,2,424
1,3,1,425
0,3,2,426
1,3,2,427
1,3,1,428
0,3,1,429
0,3,1,430
1,3,1,431
0,3,2,432
0,3,2,433
1,3,2,434
0,3,2,435
1,3,2,436
1,3,1,437
0,3,1,438
0,3,1,439
1,3,1,440
0,3,1,441
1,3,1,442
1,3,2,443
0,3,2,444
0,3,2,445
0,3,2,446
0,3,2,447
1,3,2,448
1,3,1,449
1,3,2,450
0,3,2,451
1,3,2,452
0,3,2,453
1,3,2,454
0,3,1,455
1,3,1,456
0,3,2,457
1,3,2,458
0,3,2,459
1,3,2,460
0,3,1,461
0,3,1,462
1,3,1,463
0,3,1,464
1,3,1,465
1,3,1,466
1,3,2,467
0,3,1,468
1,3,1,469
1,3,1,470
1,3,2,471
0,3,2,472
0,3,2,473
1,3,2,474
1,3,1,475
1,3,2,476
1,3,1,477
1,3,1,478
0,3,1,479
1,3,1,480
1,3,2,481
1,3,1,482
1,3,1,483
1,3,1,484
1,3,2,485
1,3,2,486
1,3,1,487
1,1,2,489
1,1,1,490
0,1,2,491
1,1,2,492
1,1,1,493
1,1,1,494
1,1,1,495
1,1,2,496
1,1,2,497
1,1,2,498
1,1,2,499
1,1,1,500
1,1,2,501
1,1,2,502
1,1,1,503
0,3,2,505
1,3,2,506
0,3,1,507
0,3,1,508
1,3,1,509
0,3,2,510
0,3,2,511
0,3,2,512
0,3,2,513
1,3,2,514
0,3,2,515
0,3,2,516
0,3,2,517
0,3,2,518
1,3,2,519
1,3,2,520
0,3,1,521
1,3,1,522
0,3,2,523
1,3,2,524
0,3,2,525
1,3,2,526
1,3,1,527
0,3,2,528
0,3,2,529
0,3,2,530
1,3,2,531
0,3,2,532
0,3,2,533
0,3,2,534
1,3,2,535
1,3,1,536
0,3,1,537
0,3,1,538
1,3,1,539
1,3,1,540
1,3,2,541
1,3,1,542
