Correct,Strategy,Start zone,Trial,
0,3,1,1,
1,3,1,2,
1,3,1,3,
0,3,2,4,
1,3,2,5,
1,3,1,6,
1,3,1,7,
1,3,1,8,
1,3,2,9,
1,3,2,10,
1,3,1,11,
1,3,1,12,
1,3,2,13,
1,3,1,14,
1,3,1,15,
0,5,0,16,
0,1,2,17,
1,1,2,18,
1,1,2,19,
1,1,2,20,
0,1,2,21,
0,1,2,22,
1,1,2,23,
0,1,1,24,
1,1,1,25,
1,1,2,26,
1,1,2,27,
0,1,2,28,
1,1,2,29,
1,1,1,30,
1,1,1,31,
1,1,1,32,
0,1,2,33,
1,1,2,34,
1,1,1,35,
1,1,2,36,
1,1,1,37,
1,1,2,38,
1,1,2,39,
0,2,2,40,
0,2,2,41,
0,2,2,42,
0,2,2,43,
0,2,2,44,
0,5,0,45,
0,3,1,46,
1,3,1,47,
1,3,1,48,
0,3,2,49,
1,3,2,50,
1,3,1,51,
1,3,1,52,
1,3,1,53,
1,3,2,54,
1,3,2,55,
1,3,1,56,
1,3,1,57,
1,3,2,58,
1,3,1,59,
1,3,1,60,change
0,5,0,61,
0,1,2,62,
1,1,2,63,
1,1,2,64,
1,1,2,65,
0,1,2,66,
0,1,2,67,
1,1,2,68,
0,1,1,69,
1,1,1,70,
1,1,2,71,
1,1,2,72,
0,1,2,73,
1,1,2,74,
1,1,1,75,
1,1,1,76,
1,1,1,77,
0,1,2,78,
1,1,2,79,
1,1,1,80,
1,1,2,81,
1,1,1,82,
1,1,2,83,
1,1,2,84,
0,2,2,85,
0,2,2,86,
0,2,2,87,
0,2,2,88,
0,2,2,89,
0,5,0,90,
0,3,1,91,
1,3,1,92,
1,3,1,93,
0,3,2,94,
1,3,2,95,
1,3,1,96,
1,3,1,97,
1,3,1,98,
1,3,2,99,
1,3,2,100,
1,3,1,101,
1,3,1,102,
1,3,2,103,
1,3,1,104,
1,3,1,105,
0,5,0,106,
0,1,2,107,
1,1,2,108,
1,1,2,109,
1,1,2,110,
0,1,2,111,
0,1,2,112,
1,1,2,113,
0,1,1,114,
1,1,1,115,
1,1,2,116,
1,1,2,117,
0,1,2,118,
1,1,2,119,
1,1,1,120,
