Trial,Finished
1,True
2,True
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,True
47,False
48,True
49,True
50,True
51,True
52,True
53,True
54,False
55,True
56,True
57,True
58,True
59,False
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,False
69,True
70,True
71,True
72,True
73,True
74,True
75,False
76,True
77,True
78,True
79,True
80,True
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,False
105,True
106,True
107,True
108,True
109,True
110,True
111,True
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,True
124,False
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,False
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,True
146,True
147,False
148,True
149,True
150,True
151,True
152,True
153,True
154,False
155,False
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,True
164,True
165,True
166,True
167,True
168,True
169,True
170,True
171,False
172,True
173,True
174,True
175,False
176,True
177,True
178,True
179,True
180,True
181,True
182,True
183,True
184,True
185,True
186,True
187,False
188,False
189,True
190,True
191,True
192,True
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,True
201,True
202,True
203,True
204,True
205,False
206,True
207,True
208,False
209,True
210,True
211,True
212,False
213,True
214,True
215,True
216,True
217,True
218,True
219,True
220,True
221,True
222,True
223,False
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,True
242,True
243,True
244,True
245,True
246,True
247,True
248,True
249,True
250,True
251,True
252,True
253,True
254,True
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,True
267,True
268,True
269,True
270,True
271,True
272,True
273,True
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,True
282,False
283,True
284,True
285,True
286,True
287,True
288,False
289,True
290,True
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,False
299,False
300,False
301,True
302,True
303,True
304,False
305,True
306,True
307,False
308,True
309,True
310,True
311,False
312,False
313,True
314,True
315,True
316,True
317,False
318,False
319,False
320,False
321,True
322,True
323,True
324,True
325,True
326,True
327,False
328,True
329,True
330,True
331,True
332,False
333,False
334,True
335,True
336,True
337,True
338,True
339,True
340,False
341,True
342,True
343,False
344,True
345,True
346,False
347,False
348,True
349,True
350,False
351,True
352,True
353,False
354,False
355,False
356,False
357,True
358,True
359,False
360,True
361,False
362,True
363,False
364,True
365,True
366,False
367,True
368,False
369,True
370,False
371,False
372,True
373,True
374,False
375,True
376,False
377,True
378,True
379,True
380,True
381,True
382,False
383,False
384,True
385,False
386,True
387,False
388,False
389,True
390,True
391,False
392,False
393,True
394,True
395,True
396,True
397,True
398,False
399,True
400,False
401,True
402,True
403,True
404,True
405,True
406,True
407,True
408,True
409,True
410,True
411,False
412,True
413,True
414,True
415,True
416,True
417,True
418,True
419,True
420,True
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,True
430,True
431,True
432,True
433,True
434,True
435,True
436,True
437,True
438,False
439,True
440,True
441,True
442,True
443,True
444,True
445,True
446,True
447,True
448,True
449,False
450,False
451,True
452,True
453,True
454,True
455,True
456,True
457,False
458,True
459,True
460,False
461,False
462,True
463,True
464,True
465,False
466,True
467,True
468,True
469,True
470,False
471,True
472,True
473,True
474,False
475,True
476,True
477,True
478,True
479,True
480,True
481,True
482,True
483,True
484,False
485,True
486,True
487,True
488,True
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,True
499,True
500,True
501,False
502,True
503,True
504,True
505,True
506,True
507,True
508,True
509,True
510,True
511,True
512,True
513,True
514,False
515,True
516,False
517,True
518,True
519,True
520,True
521,True
522,True
523,True
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,True
542,True
